row_index,post_id,created_at_utc,week_id
0,107797156496908384,2022-02-14 15:54:32.523000+00:00,2022-W07
1,108211822140637680,2022-04-28 21:29:28.112000+00:00,2022-W17
2,108217783188791696,2022-04-29 22:45:26.489000+00:00,2022-W17
3,108221053343991936,2022-04-30 12:37:05.097000+00:00,2022-W17
4,108221053884053056,2022-04-30 12:37:13.338000+00:00,2022-W17
5,108221541018717248,2022-04-30 14:41:06.423000+00:00,2022-W17
6,108222013152768432,2022-04-30 16:41:10.617000+00:00,2022-W17
7,108222044038417456,2022-04-30 16:49:01.894000+00:00,2022-W17
8,108222864536355968,2022-04-30 20:17:41.699000+00:00,2022-W17
9,108223895620843424,2022-05-01 00:39:54.800000+00:00,2022-W17
10,108223907695521840,2022-05-01 00:42:59.045000+00:00,2022-W17
11,108226786402175392,2022-05-01 12:55:04.623000+00:00,2022-W17
12,108227870570476048,2022-05-01 17:30:47.718000+00:00,2022-W17
13,108229610518342752,2022-05-02 00:53:17.215000+00:00,2022-W18
14,108229626843484240,2022-05-02 00:57:26.317000+00:00,2022-W18
15,108229719600732176,2022-05-02 01:21:01.681000+00:00,2022-W18
16,108237661590383008,2022-05-03 11:00:46.825000+00:00,2022-W18
17,108238421818001952,2022-05-03 14:14:06.978000+00:00,2022-W18
18,108241621699548080,2022-05-04 03:47:53.296000+00:00,2022-W18
19,108243822427218384,2022-05-04 13:07:33.735000+00:00,2022-W18
20,108245405230558000,2022-05-04 19:50:05.397000+00:00,2022-W18
21,108245409792660080,2022-05-04 19:51:15.010000+00:00,2022-W18
22,108245429919908320,2022-05-04 19:56:22.127000+00:00,2022-W18
23,108250221632303424,2022-05-05 16:14:57.856000+00:00,2022-W18
24,108254985594084016,2022-05-06 12:26:30.144000+00:00,2022-W18
25,108255320192907872,2022-05-06 13:51:35.716000+00:00,2022-W18
26,108258194310122896,2022-05-07 02:02:31.265000+00:00,2022-W18
27,108258196521260272,2022-05-07 02:03:05.004000+00:00,2022-W18
28,108258197571087376,2022-05-07 02:03:21.023000+00:00,2022-W18
29,108258200210487440,2022-05-07 02:04:01.297000+00:00,2022-W18
30,108261452443854016,2022-05-07 15:51:06.440000+00:00,2022-W18
31,108261460435801168,2022-05-07 15:53:08.388000+00:00,2022-W18
32,108262028882473488,2022-05-07 18:17:42.195000+00:00,2022-W18
33,108262832305108656,2022-05-07 21:42:01.452000+00:00,2022-W18
34,108262843687288752,2022-05-07 21:44:55.130000+00:00,2022-W18
35,108266475948721968,2022-05-08 13:08:39.041000+00:00,2022-W18
36,108273798228037600,2022-05-09 20:10:48.157000+00:00,2022-W19
37,108273801140042160,2022-05-09 20:11:32.590000+00:00,2022-W19
38,108274736971463472,2022-05-10 00:09:32.245000+00:00,2022-W19
39,108274789674289584,2022-05-10 00:22:56.426000+00:00,2022-W19
40,108277250345173008,2022-05-10 10:48:43.284000+00:00,2022-W19
41,108277365849090128,2022-05-10 11:18:05.734000+00:00,2022-W19
42,108277388770242608,2022-05-10 11:23:55.483000+00:00,2022-W19
43,108277442391683888,2022-05-10 11:37:33.681000+00:00,2022-W19
44,108280564237440720,2022-05-11 00:51:29.267000+00:00,2022-W19
45,108280654814275312,2022-05-11 01:14:31.360000+00:00,2022-W19
46,108280691476527488,2022-05-11 01:23:50.781000+00:00,2022-W19
47,108283645798040768,2022-05-11 13:55:10.150000+00:00,2022-W19
48,108284897900361808,2022-05-11 19:13:35.715000+00:00,2022-W19
49,108285897477850496,2022-05-11 23:27:48.058000+00:00,2022-W19
50,108286264719920320,2022-05-12 01:01:11.727000+00:00,2022-W19
51,108286524163899984,2022-05-12 02:07:10.528000+00:00,2022-W19
52,108286582902312608,2022-05-12 02:22:06.805000+00:00,2022-W19
53,108286592429387280,2022-05-12 02:24:32.176000+00:00,2022-W19
54,108289199231413056,2022-05-12 13:27:28.819000+00:00,2022-W19
55,108289208173872416,2022-05-12 13:29:45.270000+00:00,2022-W19
56,108289221565157296,2022-05-12 13:33:09.605000+00:00,2022-W19
57,108289244443536656,2022-05-12 13:38:58.701000+00:00,2022-W19
58,108289874143127008,2022-05-12 16:19:07.154000+00:00,2022-W19
59,108290078261441936,2022-05-12 17:11:01.752000+00:00,2022-W19
60,108290204102814912,2022-05-12 17:43:01.939000+00:00,2022-W19
61,108290272061556400,2022-05-12 18:00:18.908000+00:00,2022-W19
62,108290456495875408,2022-05-12 18:47:13.152000+00:00,2022-W19
63,108294954209768016,2022-05-13 13:51:02.819000+00:00,2022-W19
64,108296031627782656,2022-05-13 18:25:02.914000+00:00,2022-W19
65,108296382291489104,2022-05-13 19:54:13.617000+00:00,2022-W19
66,108297176615335072,2022-05-13 23:16:14.037000+00:00,2022-W19
67,108297233945888256,2022-05-13 23:30:48.832000+00:00,2022-W19
68,108300994412277152,2022-05-14 15:27:08.995000+00:00,2022-W19
