node_id,label,node_type,total_count
topic::media_communications,Media Communications,topic,10744
topic::law_justice_crime,Law Justice Crime,topic,4707
topic::elections_campaigns,Elections Campaigns,topic,3035
topic::health_public_health,Health Public Health,topic,2619
per::trump,Trump,per,2225
topic::congress_governance,Congress Governance,topic,1571
topic::endorsements_appointments,Endorsements Appointments,topic,1296
topic::energy_environment,Energy Environment,topic,1235
topic::foreign_policy_diplomacy,Foreign Policy Diplomacy,topic,1128
topic::immigration_border,Immigration Border,topic,1102
topic::defense_military_veterans,Defense Military Veterans,topic,1012
mention::realdonaldtrump,@realdonaldtrump,mention,987
per::b,B,per,951
per::joe biden,Joe Biden,per,949
loc::america,America,loc,857
per::iden,Iden,per,629
per::c,C,per,622
loc::united states,United States,loc,599
loc::u. s,U. S,loc,422
org::congress,Congress,org,380
org::fbi,Fbi,org,368
per::kamal,Kamal,per,360
per::donald trump,Donald Trump,per,335
loc::new york,New York,loc,332
loc::white house,White House,loc,328
loc::florida,Florida,loc,309
topic::social_culture_education,Social Culture Education,topic,290
loc::usa,Usa,loc,274
mention::realamericasvoice,@realamericasvoice,mention,259
loc::russia,Russia,loc,252
loc::china,China,loc,246
mention::rsbn,@rsbn,mention,246
loc::iowa,Iowa,loc,223
org::f,F,org,223
per::jack smith,Jack Smith,per,223
org::america first,America First,org,215
loc::country,Country,loc,211
per::donald j,Donald J,per,210
loc::georgia,Georgia,loc,201
per::joe,Joe,per,201
loc::texas,Texas,loc,199
mention::teamtrumppresident,@teamtrumppresident,mention,199
per::kamala harris,Kamala Harris,per,199
loc::pennsylvania,Pennsylvania,loc,195
org::newsmax,Newsmax,org,190
org::senate,Senate,org,190
org::foxnews,Foxnews,org,188
org::a,A,org,184
per::j,J,per,178
loc::ukraine,Ukraine,loc,173
per::donald j. trump,Donald J. Trump,per,172
mention::newsmax,@newsmax,mention,171
topic::economy_trade_taxes,Economy Trade Taxes,topic,160
org::b,B,org,149
org::r,R,org,148
org::republican party,Republican Party,org,148
per::“,“,per,142
loc::united states of america,United States Of America,loc,141
mention::rumble,@rumble,mention,140
org::supreme court,Supreme Court,org,140
loc::michigan,Michigan,loc,137
org::doj,Doj,org,136
loc::mar - a - lago,Mar - A - Lago,loc,135
loc::new hampshire,New Hampshire,loc,134
org::cnn,Cnn,org,134
mention::oan,@oan,mention,130
loc::israel,Israel,loc,126
loc::north carolina,North Carolina,loc,125
loc::d. c,D. C,loc,121
org::d,D,org,118
per::ron des,Ron Des,per,118
per::a harris,A Harris,per,116
mention::realdonaldtrumphttps,@realdonaldtrumphttps,mention,115
per::let,Let,per,114
org::house,House,org,113
loc::am,Am,loc,112
org::fake news,Fake News,org,110
per::ron,Ron,per,110
loc::south carolina,South Carolina,loc,109
loc::iran,Iran,loc,108
org::maga,Maga,org,106
org::rsb,Rsb,org,106
loc::arizona,Arizona,loc,103
loc::new york state,New York State,loc,103
per::god,God,per,103
per::e,E,per,102
per::obama,Obama,per,100
loc::wisconsin,Wisconsin,loc,99
org::administration,Administration,org,99
loc::washington,Washington,loc,96
per::alvin bragg,Alvin Bragg,per,91
per::co,Co,per,91
per::rook,Rook,per,91
org::p,P,org,90
loc::nevada,Nevada,loc,89
loc::district,District,loc,88
per::p,P,per,88
org::v,V,org,86
per::jean carroll,Jean Carroll,per,86
hashtag::maga,#maga,hashtag,85
mention::rsbnpresident,@rsbnpresident,mention,85
org::g,G,org,85
org::t,T,org,84
per::des,Des,per,84
per::ka,Ka,per,84
loc::afghanistan,Afghanistan,loc,83
org::american energy,American Energy,org,83
per::a,A,per,83
loc::americ,Americ,loc,82
org::unselect committee,Unselect Committee,org,82
org::america,America,org,81
org::fox,Fox,org,80
hashtag::trump2024,#trump2024,hashtag,79
loc::california,California,loc,79
per::harris,Harris,per,78
loc::s,S,loc,77
per::r,R,per,74
loc::manhattan,Manhattan,loc,73
per::l,L,per,73
per::mark levin,Mark Levin,per,72
mention::realamericasvoicepresident,@realamericasvoicepresident,mention,71
per::a james,A James,per,71
loc::states,States,loc,70
org::fox news,Fox News,org,70
org::u,U,org,69
loc::middle east,Middle East,loc,68
loc::ohio,Ohio,loc,68
per::haley,Haley,per,68
per::james,James,per,68
mention::realdonaldtrumpthe,@realdonaldtrumpthe,mention,67
per::mike,Mike,per,67
loc::virginia,Virginia,loc,65
org::ake news media,Ake News Media,org,64
per::bragg,Bragg,per,64
per::desanti,Desanti,per,62
org::democrat party,Democrat Party,org,61
per::gregg jarrett,Gregg Jarrett,per,61
per::mi,Mi,per,61
mention::danscavino,@danscavino,mention,60
org::radical left,Radical Left,org,60
per::hillary clinton,Hillary Clinton,per,60
per::hunter biden,Hunter Biden,per,60
per::kamala,Kamala,per,60
loc::a,A,loc,59
org::ma,Ma,org,59
per::g,G,per,59
per::mitch mcconnell,Mitch Mcconnell,per,59
per::nancy pelosi,Nancy Pelosi,per,59
loc::new york city,New York City,loc,57
"loc::washington, d. c","Washington, D. C",loc,57
org::n,N,org,57
per::me,Me,per,57
loc::mexico,Mexico,loc,56
org::trump administration,Trump Administration,org,56
per::clinton,Clinton,per,56
per::nikki haley,Nikki Haley,per,56
loc::colorado,Colorado,loc,55
org::hamas,Hamas,org,55
per::jonathan turley,Jonathan Turley,per,55
per::fan,Fan,per,54
org::h,H,org,53
per::joe b,Joe B,per,53
per::putin,Putin,per,53
per::sleep,Sleep,per,53
per::t,T,per,53
org::oan,Oan,org,52
loc::border,Border,loc,51
loc::us,Us,loc,51
org::justice department,Justice Department,org,51
org::news,News,org,51
per::hunter,Hunter,per,51
per::paul ryan,Paul Ryan,per,51
loc::great state of,Great State Of,loc,50
org::department of justice,Department Of Justice,org,50
org::military,Military,org,50
per::v,V,per,50
loc::r,R,loc,48
per::liz cheney,Liz Cheney,per,48
loc::atlanta,Atlanta,loc,47
loc::canada,Canada,loc,47
org::me,Me,org,47
per::s,S,per,47
loc::new jersey,New Jersey,loc,46
per::chris christie,Chris Christie,per,46
per::i willis,I Willis,per,46
loc::state of,State Of,loc,45
per::john,John,per,44
per::nikki,Nikki,per,44
loc::alabama,Alabama,loc,43
loc::state,State,loc,43
org::social security,Social Security,org,43
per::d,D,per,43
per::scott,Scott,per,43
org::o,O,org,42
loc::u. s. a,U. S. A,loc,41
org::law enforcement,Law Enforcement,org,41
loc::minnesota,Minnesota,loc,40
loc::missouri,Missouri,loc,40
loc::world,World,loc,40
mention::oksanatrump,@oksanatrump,mention,40
org::fox & friends,Fox & Friends,org,40
per::so,So,per,40
loc::dc,Dc,loc,39
loc::palm beach,Palm Beach,loc,39
mention::akapr0b0ss,@akapr0b0ss,mention,39
mention::realdonaldtrumpthank,@realdonaldtrumpthank,mention,39
mention::teamtrump,@teamtrump,mention,39
org::energy,Energy,org,39
loc::europe,Europe,loc,38
org::fake news media,Fake News Media,org,38
org::ice,Ice,org,38
per::iti,Iti,per,38
per::m,M,per,38
hashtag::truth,#truth,hashtag,37
loc::chicago,Chicago,loc,37
loc::tennessee,Tennessee,loc,37
loc::wyoming,Wyoming,loc,37
mention::fruitsnacks,@fruitsnacks,mention,37
loc::southern border,Southern Border,loc,36
mention::rsbntrump,@rsbntrump,mention,36
org::fruitsnacks,Fruitsnacks,org,36
org::new york times,New York Times,org,36
org::s,S,org,36
per::ma,Ma,per,36
per::mel,Mel,per,36
per::david,David,per,35
loc::alaska,Alaska,loc,34
loc::las vegas,Las Vegas,loc,34
org::enforcement,Enforcement,org,34
per::arthur engoron,Arthur Engoron,per,34
hashtag::trumprally,#trumprally,hashtag,33
loc::indiana,Indiana,loc,33
loc::los angeles,Los Angeles,loc,33
mention::realdonaldtrumpi,@realdonaldtrumpi,mention,33
org::ake news,Ake News,org,33
per::dan patrick,Dan Patrick,per,33
per::ken paxton,Ken Paxton,per,33
loc::oval office,Oval Office,loc,32
mention::realdonaldtrumpjoin,@realdonaldtrumpjoin,mention,32
org::first,First,org,32
org::office,Office,org,32
org::washington post,Washington Post,org,32
per::mike pence,Mike Pence,per,32
loc::y,Y,loc,31
org::abc,Abc,org,31
org::c,C,org,31
org::party,Party,org,31
org::vanity fair,Vanity Fair,org,31
per::engor,Engor,per,31
per::engoron,Engoron,per,31
per::mu,Mu,per,31
per::tucker carlson,Tucker Carlson,per,31
org::border patrol,Border Patrol,org,30
org::facebook,Facebook,org,30
org::nbc,Nbc,org,30
org::rsbn,Rsbn,org,30
