week_id,week_start,week_end,posts_processed,retruths,original_posts,unique_nodes,edge_count,negative_posts,neutral_posts,positive_posts
2022-W07,2022-02-14,2022-02-20,1,0,1,1,0,0,0,1
2022-W17,2022-04-25,2022-05-01,12,2,10,37,167,4,2,6
2022-W18,2022-05-02,2022-05-08,23,8,15,34,95,4,5,14
2022-W19,2022-05-09,2022-05-15,39,3,36,71,223,15,8,16
2022-W20,2022-05-16,2022-05-22,105,51,54,119,427,29,39,37
2022-W21,2022-05-23,2022-05-29,50,18,32,76,303,18,18,14
2022-W22,2022-05-30,2022-06-05,59,26,33,95,391,17,18,24
2022-W23,2022-06-06,2022-06-12,63,22,41,75,228,29,17,17
2022-W24,2022-06-13,2022-06-19,54,11,43,69,294,26,7,21
2022-W25,2022-06-20,2022-06-26,39,17,22,66,269,16,5,18
2022-W26,2022-06-27,2022-07-03,55,7,48,81,327,29,7,19
2022-W27,2022-07-04,2022-07-10,81,22,59,110,561,40,14,27
2022-W28,2022-07-11,2022-07-17,32,5,27,50,152,13,8,11
2022-W29,2022-07-18,2022-07-24,58,16,42,68,279,23,17,18
2022-W30,2022-07-25,2022-07-31,44,20,24,75,225,18,6,20
2022-W31,2022-08-01,2022-08-07,85,30,55,100,537,18,34,33
2022-W32,2022-08-08,2022-08-14,77,29,48,98,427,31,24,22
2022-W33,2022-08-15,2022-08-21,87,20,67,96,417,39,29,19
2022-W34,2022-08-22,2022-08-28,64,6,58,78,293,25,23,16
2022-W35,2022-08-29,2022-09-04,148,96,52,109,505,57,53,38
2022-W36,2022-09-05,2022-09-11,60,14,46,94,426,35,10,15
2022-W37,2022-09-12,2022-09-18,108,68,40,124,540,39,34,35
2022-W38,2022-09-19,2022-09-25,91,33,58,120,484,35,31,25
2022-W39,2022-09-26,2022-10-02,85,43,42,101,475,28,34,23
2022-W40,2022-10-03,2022-10-09,92,32,60,114,452,19,33,40
2022-W41,2022-10-10,2022-10-16,90,27,63,103,417,24,38,28
2022-W42,2022-10-17,2022-10-23,70,34,36,108,463,25,20,25
2022-W43,2022-10-24,2022-10-30,92,34,58,113,430,26,32,34
2022-W44,2022-10-31,2022-11-06,102,55,47,124,560,24,37,41
2022-W45,2022-11-07,2022-11-13,95,36,59,119,520,40,25,30
2022-W46,2022-11-14,2022-11-20,95,63,32,108,401,29,38,28
2022-W47,2022-11-21,2022-11-27,116,86,30,94,310,38,65,13
2022-W48,2022-11-28,2022-12-04,67,24,43,96,356,45,10,12
2022-W49,2022-12-05,2022-12-11,109,71,38,101,359,53,35,21
2022-W50,2022-12-12,2022-12-18,102,53,49,84,262,38,41,23
2022-W51,2022-12-19,2022-12-25,85,39,46,89,422,50,18,17
2022-W52,2022-12-26,2023-01-01,52,18,34,74,287,32,9,11
2023-W01,2023-01-02,2023-01-08,43,4,39,72,323,25,1,17
2023-W02,2023-01-09,2023-01-15,127,74,53,126,594,63,45,19
2023-W03,2023-01-16,2023-01-22,72,35,37,117,549,29,30,13
2023-W04,2023-01-23,2023-01-29,124,66,58,162,737,57,37,30
2023-W05,2023-01-30,2023-02-05,142,68,74,159,755,63,42,37
2023-W06,2023-02-06,2023-02-12,131,37,94,133,517,72,30,29
2023-W07,2023-02-13,2023-02-19,72,16,56,122,672,31,14,27
2023-W08,2023-02-20,2023-02-26,62,17,45,94,405,25,11,26
2023-W09,2023-02-27,2023-03-05,77,26,51,112,467,41,17,19
2023-W10,2023-03-06,2023-03-12,121,69,52,151,742,48,45,28
2023-W11,2023-03-13,2023-03-19,87,53,34,118,490,37,33,17
2023-W12,2023-03-20,2023-03-26,143,71,72,153,806,65,43,35
2023-W13,2023-03-27,2023-04-02,99,49,50,106,448,44,40,15
2023-W14,2023-04-03,2023-04-09,66,19,47,80,321,31,20,15
2023-W15,2023-04-10,2023-04-16,82,30,52,127,678,47,18,17
2023-W16,2023-04-17,2023-04-23,65,30,35,95,412,18,20,27
2023-W17,2023-04-24,2023-04-30,110,61,49,115,441,35,44,31
2023-W18,2023-05-01,2023-05-07,58,24,34,84,324,22,18,18
2023-W19,2023-05-08,2023-05-14,72,26,46,103,409,27,17,28
2023-W20,2023-05-15,2023-05-21,102,47,55,130,650,46,33,23
2023-W21,2023-05-22,2023-05-28,107,56,51,132,644,38,39,30
2023-W22,2023-05-29,2023-06-04,125,69,56,125,577,39,50,36
2023-W23,2023-06-05,2023-06-11,191,105,86,160,872,89,70,32
2023-W24,2023-06-12,2023-06-18,125,52,73,112,459,56,40,29
2023-W25,2023-06-19,2023-06-25,128,71,57,106,501,45,57,26
2023-W26,2023-06-26,2023-07-02,125,54,71,126,568,35,41,49
2023-W27,2023-07-03,2023-07-09,106,74,32,110,496,41,39,26
2023-W28,2023-07-10,2023-07-16,144,86,58,134,657,45,54,45
2023-W29,2023-07-17,2023-07-23,168,121,47,131,557,48,78,42
2023-W30,2023-07-24,2023-07-30,198,132,66,178,1010,81,66,51
2023-W31,2023-07-31,2023-08-06,155,83,72,154,777,76,55,24
2023-W32,2023-08-07,2023-08-13,134,71,63,148,860,54,49,31
2023-W33,2023-08-14,2023-08-20,99,42,57,112,478,41,37,21
2023-W34,2023-08-21,2023-08-27,133,53,80,129,544,51,44,38
2023-W35,2023-08-28,2023-09-03,204,81,123,154,765,86,53,65
2023-W36,2023-09-04,2023-09-10,96,24,72,104,416,34,33,29
2023-W37,2023-09-11,2023-09-17,99,32,67,122,542,39,30,30
2023-W38,2023-09-18,2023-09-24,117,56,61,120,654,51,35,31
2023-W39,2023-09-25,2023-10-01,194,102,92,187,1156,65,71,58
2023-W40,2023-10-02,2023-10-08,131,54,77,157,1030,65,44,22
2023-W41,2023-10-09,2023-10-15,122,34,88,136,708,63,29,30
2023-W42,2023-10-16,2023-10-22,131,66,65,134,746,50,47,34
2023-W43,2023-10-23,2023-10-29,137,67,70,156,885,53,45,39
2023-W44,2023-10-30,2023-11-05,105,15,90,139,739,51,22,32
2023-W45,2023-11-06,2023-11-12,104,38,66,150,972,39,29,36
2023-W46,2023-11-13,2023-11-19,114,38,76,150,907,40,29,45
2023-W47,2023-11-20,2023-11-26,88,15,73,97,398,44,15,29
2023-W48,2023-11-27,2023-12-03,163,56,107,161,856,53,52,58
2023-W49,2023-12-04,2023-12-10,93,16,77,141,741,39,32,22
2023-W50,2023-12-11,2023-12-17,94,20,74,102,478,35,24,35
2023-W51,2023-12-18,2023-12-24,198,98,100,180,1153,83,65,50
2023-W52,2023-12-25,2023-12-31,118,29,89,147,972,54,36,28
2024-W01,2024-01-01,2024-01-07,225,101,124,199,1183,99,87,39
2024-W02,2024-01-08,2024-01-14,159,30,129,165,1010,67,55,37
2024-W03,2024-01-15,2024-01-21,164,50,114,180,1177,55,49,60
2024-W04,2024-01-22,2024-01-28,182,51,131,178,981,70,60,52
2024-W05,2024-01-29,2024-02-04,92,23,69,129,706,35,19,38
2024-W06,2024-02-05,2024-02-11,137,42,95,124,627,58,34,45
2024-W07,2024-02-12,2024-02-18,130,50,80,149,751,50,53,27
2024-W08,2024-02-19,2024-02-25,92,15,77,126,628,26,26,40
2024-W09,2024-02-26,2024-03-03,117,14,103,178,1029,26,31,60
2024-W10,2024-03-04,2024-03-10,186,50,136,205,1195,65,41,80
2024-W11,2024-03-11,2024-03-17,134,61,73,168,897,47,52,35
2024-W12,2024-03-18,2024-03-24,152,39,113,151,979,68,42,42
2024-W13,2024-03-25,2024-03-31,121,25,96,141,799,54,33,34
2024-W14,2024-04-01,2024-04-07,104,31,73,132,685,29,33,42
2024-W15,2024-04-08,2024-04-14,134,31,103,137,716,51,40,43
2024-W16,2024-04-15,2024-04-21,142,26,116,125,549,53,47,42
2024-W17,2024-04-22,2024-04-28,158,61,97,174,974,74,57,27
2024-W18,2024-04-29,2024-05-05,198,68,130,187,1167,72,77,49
2024-W19,2024-05-06,2024-05-12,188,65,123,180,978,70,64,54
2024-W20,2024-05-13,2024-05-19,118,20,98,142,865,59,28,31
2024-W21,2024-05-20,2024-05-26,205,38,167,215,1359,47,36,122
2024-W22,2024-05-27,2024-06-02,184,27,157,142,801,79,67,38
2024-W23,2024-06-03,2024-06-09,143,38,105,141,766,49,42,52
2024-W24,2024-06-10,2024-06-16,110,34,76,141,889,20,29,61
2024-W25,2024-06-17,2024-06-23,146,65,81,165,1013,32,53,61
2024-W26,2024-06-24,2024-06-30,154,71,83,133,766,47,73,34
2024-W27,2024-07-01,2024-07-07,100,41,59,121,670,29,40,31
2024-W28,2024-07-08,2024-07-14,116,30,86,127,712,44,42,30
2024-W29,2024-07-15,2024-07-21,73,18,55,106,597,17,13,43
2024-W30,2024-07-22,2024-07-28,133,38,95,148,929,45,35,53
2024-W31,2024-07-29,2024-08-04,178,75,103,183,1126,62,59,57
2024-W32,2024-08-05,2024-08-11,203,83,120,187,923,70,75,58
2024-W33,2024-08-12,2024-08-18,174,35,139,184,1098,48,37,89
2024-W34,2024-08-19,2024-08-25,193,61,132,175,1161,88,55,50
2024-W35,2024-08-26,2024-09-01,194,95,99,173,1175,70,70,54
2024-W36,2024-09-02,2024-09-08,123,23,100,129,724,36,43,44
2024-W37,2024-09-09,2024-09-15,137,44,93,149,796,52,47,38
2024-W38,2024-09-16,2024-09-22,151,69,82,139,681,29,59,63
2024-W39,2024-09-23,2024-09-29,151,48,103,135,767,66,34,51
2024-W40,2024-09-30,2024-10-06,171,53,118,167,1093,77,48,46
2024-W41,2024-10-07,2024-10-13,169,41,128,157,1062,54,54,61
2024-W42,2024-10-14,2024-10-20,123,53,70,115,560,43,38,42
2024-W43,2024-10-21,2024-10-27,182,63,119,147,915,47,55,80
2024-W44,2024-10-28,2024-11-03,194,55,139,148,899,52,46,96
2024-W45,2024-11-04,2024-11-10,66,17,49,75,247,9,24,33
2024-W46,2024-11-11,2024-11-17,36,9,27,79,332,4,10,22
2024-W47,2024-11-18,2024-11-24,27,1,26,52,191,7,7,13
2024-W48,2024-11-25,2024-12-01,32,5,27,74,395,10,8,14
2024-W49,2024-12-02,2024-12-08,65,7,58,138,718,6,16,43
2024-W50,2024-12-09,2024-12-15,48,3,45,110,569,6,4,38
2024-W51,2024-12-16,2024-12-22,79,17,62,141,822,20,15,44
2024-W52,2024-12-23,2024-12-29,30,6,24,66,273,5,10,15
2025-W01,2024-12-30,2025-01-05,33,3,30,101,602,13,1,19
2025-W02,2025-01-06,2025-01-12,67,19,48,99,349,19,15,33
2025-W03,2025-01-13,2025-01-19,85,37,48,104,393,17,30,38
2025-W04,2025-01-20,2025-01-26,54,24,30,81,279,6,16,32
2025-W05,2025-01-27,2025-02-02,51,4,47,72,274,14,7,30
2025-W06,2025-02-03,2025-02-09,64,13,51,96,406,14,9,41
2025-W07,2025-02-10,2025-02-16,69,8,61,100,399,17,23,29
2025-W08,2025-02-17,2025-02-23,54,5,49,92,430,12,19,23
2025-W09,2025-02-24,2025-03-02,76,14,62,114,498,14,17,45
2025-W10,2025-03-03,2025-03-09,43,2,41,75,303,17,10,16
2025-W11,2025-03-10,2025-03-16,75,4,71,100,443,26,11,38
2025-W12,2025-03-17,2025-03-23,80,3,77,112,495,22,20,38
2025-W13,2025-03-24,2025-03-30,76,3,73,142,746,19,14,43
2025-W14,2025-03-31,2025-04-06,58,5,53,96,426,13,13,32
2025-W15,2025-04-07,2025-04-13,73,3,70,92,469,16,12,45
2025-W16,2025-04-14,2025-04-20,66,6,60,105,445,22,8,36
2025-W17,2025-04-21,2025-04-27,49,6,43,92,379,18,12,19
2025-W18,2025-04-28,2025-05-04,77,6,71,109,518,15,15,47
2025-W19,2025-05-05,2025-05-11,106,8,98,144,746,14,24,68
2025-W20,2025-05-12,2025-05-18,72,22,50,90,394,22,19,31
2025-W21,2025-05-19,2025-05-25,41,3,38,83,341,8,7,26
2025-W22,2025-05-26,2025-06-01,64,4,60,101,440,14,7,43
2025-W23,2025-06-02,2025-06-08,49,3,46,88,394,23,8,18
2025-W24,2025-06-09,2025-06-15,58,2,56,71,299,22,5,31
2025-W25,2025-06-16,2025-06-22,70,1,69,113,664,18,7,45
2025-W26,2025-06-23,2025-06-29,111,5,106,118,605,41,18,52
2025-W27,2025-06-30,2025-07-06,74,4,70,112,523,14,12,48
2025-W28,2025-07-07,2025-07-13,57,7,50,111,687,15,11,31
2025-W29,2025-07-14,2025-07-20,83,8,75,141,719,18,17,48
2025-W30,2025-07-21,2025-07-27,75,7,68,127,656,17,13,45
2025-W31,2025-07-28,2025-08-03,81,10,71,128,750,32,17,32
2025-W32,2025-08-04,2025-08-10,73,8,65,80,236,19,14,40
2025-W33,2025-08-11,2025-08-17,77,6,71,96,343,17,19,41
2025-W34,2025-08-18,2025-08-24,93,6,87,176,1170,24,11,58
2025-W35,2025-08-25,2025-08-31,64,4,60,86,329,24,10,30
2025-W36,2025-09-01,2025-09-07,39,2,37,76,379,21,7,11
2025-W37,2025-09-08,2025-09-14,51,3,48,87,366,13,9,29
2025-W38,2025-09-15,2025-09-21,59,8,51,143,918,23,12,24
2025-W39,2025-09-22,2025-09-28,55,12,43,125,701,16,11,28
2025-W40,2025-09-29,2025-10-05,40,4,36,89,373,19,5,16
2025-W41,2025-10-06,2025-10-12,22,2,20,64,284,5,3,14
