week_id,week_start,week_end,posts_processed,retruths,original_posts,unique_nodes,edge_count,negative_posts,neutral_posts,positive_posts,top_topic,top_topic_node,top_topic_count,top_entity,top_entity_node,top_entity_count,top_nodes_json
2022-W07,2022-02-14,2022-02-20,1,0,1,1,0,0,0,1,Endorsements Appointments,topic::endorsements_appointments,1,,,0,"[{""node"":""topic::endorsements_appointments"",""label"":""Endorsements Appointments"",""count"":1}]"
2022-W17,2022-04-25,2022-05-01,12,2,10,37,167,4,2,6,Media Communications,topic::media_communications,10,F,org::f,1,"[{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":10},{""node"":""topic::energy_environment"",""label"":""Energy Environment"",""count"":2},{""node"":""topic::defense_military_veterans"",""label"":""Defense Military Veterans"",""count"":1},{""node"":""hashtag::covfefe"",""label"":""#covfefe"",""count"":1},{""node"":""org::f"",""label"":""F"",""count"":1},{""node"":""per::j"",""label"":""J"",""count"":1},{""node"":""org::truth social"",""label"":""Truth Social"",""count"":1},{""node"":""loc::palm beach"",""label"":""Palm Beach"",""count"":1},{""node"":""per::ka"",""label"":""Ka"",""count"":1},{""node"":""per::sh patel"",""label"":""Sh Patel"",""count"":1}]"
2022-W18,2022-05-02,2022-05-08,23,8,15,34,95,4,5,14,Media Communications,topic::media_communications,15,Trump,per::trump,4,"[{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":15},{""node"":""topic::elections_campaigns"",""label"":""Elections Campaigns"",""count"":7},{""node"":""topic::health_public_health"",""label"":""Health Public Health"",""count"":5},{""node"":""per::trump"",""label"":""Trump"",""count"":4},{""node"":""topic::law_justice_crime"",""label"":""Law Justice Crime"",""count"":4},{""node"":""loc::ohio"",""label"":""Ohio"",""count"":3},{""node"":""mention::realdonaldtrump"",""label"":""@realdonaldtrump"",""count"":2},{""node"":""mention::rsbnpresident"",""label"":""@rsbnpresident"",""count"":2},{""node"":""loc::u. s"",""label"":""U. S"",""count"":2},{""node"":""loc::indiana"",""label"":""Indiana"",""count"":2}]"
2022-W19,2022-05-09,2022-05-15,39,3,36,71,223,15,8,16,Media Communications,topic::media_communications,16,Joe Biden,per::joe biden,5,"[{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":16},{""node"":""topic::elections_campaigns"",""label"":""Elections Campaigns"",""count"":9},{""node"":""topic::energy_environment"",""label"":""Energy Environment"",""count"":7},{""node"":""topic::health_public_health"",""label"":""Health Public Health"",""count"":5},{""node"":""topic::congress_governance"",""label"":""Congress Governance"",""count"":5},{""node"":""per::joe biden"",""label"":""Joe Biden"",""count"":5},{""node"":""topic::law_justice_crime"",""label"":""Law Justice Crime"",""count"":4},{""node"":""loc::pennsylvania"",""label"":""Pennsylvania"",""count"":4},{""node"":""topic::endorsements_appointments"",""label"":""Endorsements Appointments"",""count"":3},{""node"":""loc::america"",""label"":""America"",""count"":3}]"
2022-W20,2022-05-16,2022-05-22,105,51,54,119,427,29,39,37,Media Communications,topic::media_communications,66,Pennsylvania,loc::pennsylvania,6,"[{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":66},{""node"":""topic::law_justice_crime"",""label"":""Law Justice Crime"",""count"":26},{""node"":""topic::elections_campaigns"",""label"":""Elections Campaigns"",""count"":18},{""node"":""topic::defense_military_veterans"",""label"":""Defense Military Veterans"",""count"":13},{""node"":""topic::energy_environment"",""label"":""Energy Environment"",""count"":13},{""node"":""topic::health_public_health"",""label"":""Health Public Health"",""count"":12},{""node"":""topic::congress_governance"",""label"":""Congress Governance"",""count"":11},{""node"":""topic::immigration_border"",""label"":""Immigration Border"",""count"":8},{""node"":""loc::pennsylvania"",""label"":""Pennsylvania"",""count"":6},{""node"":""mention::realdonaldtrump"",""label"":""@realdonaldtrump"",""count"":6}]"
2022-W21,2022-05-23,2022-05-29,50,18,32,76,303,18,18,14,Media Communications,topic::media_communications,37,Trump,per::trump,10,"[{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":37},{""node"":""topic::elections_campaigns"",""label"":""Elections Campaigns"",""count"":14},{""node"":""per::trump"",""label"":""Trump"",""count"":10},{""node"":""topic::health_public_health"",""label"":""Health Public Health"",""count"":7},{""node"":""loc::pennsylvania"",""label"":""Pennsylvania"",""count"":7},{""node"":""mention::rsbnpresident"",""label"":""@rsbnpresident"",""count"":6},{""node"":""loc::georgia"",""label"":""Georgia"",""count"":5},{""node"":""loc::texas"",""label"":""Texas"",""count"":5},{""node"":""topic::law_justice_crime"",""label"":""Law Justice Crime"",""count"":4},{""node"":""org::senate"",""label"":""Senate"",""count"":4}]"
2022-W22,2022-05-30,2022-06-05,59,26,33,95,391,17,18,24,Media Communications,topic::media_communications,43,Iowa,loc::iowa,4,"[{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":43},{""node"":""topic::health_public_health"",""label"":""Health Public Health"",""count"":9},{""node"":""topic::congress_governance"",""label"":""Congress Governance"",""count"":9},{""node"":""topic::defense_military_veterans"",""label"":""Defense Military Veterans"",""count"":9},{""node"":""topic::energy_environment"",""label"":""Energy Environment"",""count"":8},{""node"":""topic::elections_campaigns"",""label"":""Elections Campaigns"",""count"":8},{""node"":""topic::law_justice_crime"",""label"":""Law Justice Crime"",""count"":6},{""node"":""topic::social_culture_education"",""label"":""Social Culture Education"",""count"":4},{""node"":""mention::devinnunes"",""label"":""@devinnunes"",""count"":4},{""node"":""mention::donaldjtrumpjr"",""label"":""@donaldjtrumpjr"",""count"":4}]"
2022-W23,2022-06-06,2022-06-12,63,22,41,75,228,29,17,17,Media Communications,topic::media_communications,44,Unselects,org::unselects,5,"[{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":44},{""node"":""topic::law_justice_crime"",""label"":""Law Justice Crime"",""count"":10},{""node"":""topic::energy_environment"",""label"":""Energy Environment"",""count"":8},{""node"":""topic::defense_military_veterans"",""label"":""Defense Military Veterans"",""count"":6},{""node"":""topic::health_public_health"",""label"":""Health Public Health"",""count"":6},{""node"":""topic::elections_campaigns"",""label"":""Elections Campaigns"",""count"":6},{""node"":""org::unselects"",""label"":""Unselects"",""count"":5},{""node"":""per::trump"",""label"":""Trump"",""count"":4},{""node"":""org::unselect committee"",""label"":""Unselect Committee"",""count"":4},{""node"":""topic::congress_governance"",""label"":""Congress Governance"",""count"":4}]"
2022-W24,2022-06-13,2022-06-19,54,11,43,69,294,26,7,21,Media Communications,topic::media_communications,31,Unselect Committee,org::unselect committee,6,"[{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":31},{""node"":""topic::law_justice_crime"",""label"":""Law Justice Crime"",""count"":17},{""node"":""topic::congress_governance"",""label"":""Congress Governance"",""count"":11},{""node"":""topic::elections_campaigns"",""label"":""Elections Campaigns"",""count"":10},{""node"":""org::unselect committee"",""label"":""Unselect Committee"",""count"":6},{""node"":""topic::health_public_health"",""label"":""Health Public Health"",""count"":5},{""node"":""topic::defense_military_veterans"",""label"":""Defense Military Veterans"",""count"":5},{""node"":""loc::america"",""label"":""America"",""count"":4},{""node"":""topic::energy_environment"",""label"":""Energy Environment"",""count"":4},{""node"":""per::trump"",""label"":""Trump"",""count"":4}]"
2022-W25,2022-06-20,2022-06-26,39,17,22,66,269,16,5,18,Media Communications,topic::media_communications,28,Il,loc::il,5,"[{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":28},{""node"":""topic::congress_governance"",""label"":""Congress Governance"",""count"":10},{""node"":""topic::law_justice_crime"",""label"":""Law Justice Crime"",""count"":9},{""node"":""topic::elections_campaigns"",""label"":""Elections Campaigns"",""count"":6},{""node"":""loc::il"",""label"":""Il"",""count"":5},{""node"":""per::trump"",""label"":""Trump"",""count"":5},{""node"":""org::unselect committee"",""label"":""Unselect Committee"",""count"":4},{""node"":""org::newsmax"",""label"":""Newsmax"",""count"":4},{""node"":""mention::realdonaldtrump"",""label"":""@realdonaldtrump"",""count"":4},{""node"":""loc::texas"",""label"":""Texas"",""count"":3}]"
