edge_id,source,target,total_count
mention::realdonaldtrump|topic::media_communications,mention::realdonaldtrump,topic::media_communications,9452
topic::health_public_health|topic::media_communications,topic::health_public_health,topic::media_communications,7258
topic::law_justice_crime|topic::media_communications,topic::law_justice_crime,topic::media_communications,5916
per::trump|topic::media_communications,per::trump,topic::media_communications,4047
topic::elections_campaigns|topic::media_communications,topic::elections_campaigns,topic::media_communications,4032
topic::endorsements_appointments|topic::media_communications,topic::endorsements_appointments,topic::media_communications,2756
topic::energy_environment|topic::health_public_health,topic::energy_environment,topic::health_public_health,2729
topic::energy_environment|topic::media_communications,topic::energy_environment,topic::media_communications,2610
mention::realdonaldtrump|topic::elections_campaigns,mention::realdonaldtrump,topic::elections_campaigns,2467
topic::foreign_policy_diplomacy|topic::media_communications,topic::foreign_policy_diplomacy,topic::media_communications,2320
mention::realdonaldtrump|topic::endorsements_appointments,mention::realdonaldtrump,topic::endorsements_appointments,2033
topic::congress_governance|topic::media_communications,topic::congress_governance,topic::media_communications,1782
topic::health_public_health|topic::law_justice_crime,topic::health_public_health,topic::law_justice_crime,1554
per::trump|topic::elections_campaigns,per::trump,topic::elections_campaigns,1446
loc::america|topic::media_communications,loc::america,topic::media_communications,1167
per::donald trump|topic::media_communications,per::donald trump,topic::media_communications,1097
topic::congress_governance|topic::law_justice_crime,topic::congress_governance,topic::law_justice_crime,1088
per::trump|topic::law_justice_crime,per::trump,topic::law_justice_crime,1066
mention::realdonaldtrump|topic::health_public_health,mention::realdonaldtrump,topic::health_public_health,1053
topic::elections_campaigns|topic::law_justice_crime,topic::elections_campaigns,topic::law_justice_crime,1035
mention::realdonaldtrump|per::trump,mention::realdonaldtrump,per::trump,1017
per::b|per::iden,per::b,per::iden,998
org::foxnews|topic::media_communications,org::foxnews,topic::media_communications,988
per::b|topic::media_communications,per::b,topic::media_communications,985
per::obama|topic::media_communications,per::obama,topic::media_communications,951
mention::foxnews|topic::media_communications,mention::foxnews,topic::media_communications,941
topic::immigration_border|topic::law_justice_crime,topic::immigration_border,topic::law_justice_crime,929
org::congress|topic::congress_governance,org::congress,topic::congress_governance,813
mention::foxnews|org::foxnews,mention::foxnews,org::foxnews,804
mention::whitehouse|topic::media_communications,mention::whitehouse,topic::media_communications,801
topic::congress_governance|topic::health_public_health,topic::congress_governance,topic::health_public_health,801
per::joe biden|topic::media_communications,per::joe biden,topic::media_communications,796
org::fbi|topic::law_justice_crime,org::fbi,topic::law_justice_crime,767
topic::immigration_border|topic::media_communications,topic::immigration_border,topic::media_communications,740
topic::congress_governance|topic::elections_campaigns,topic::congress_governance,topic::elections_campaigns,708
org::cnn|topic::media_communications,org::cnn,topic::media_communications,703
mention::realdonaldtrump|topic::law_justice_crime,mention::realdonaldtrump,topic::law_justice_crime,700
mention::foxandfriends|topic::media_communications,mention::foxandfriends,topic::media_communications,676
topic::congress_governance|topic::defense_military_veterans,topic::congress_governance,topic::defense_military_veterans,650
org::f|topic::media_communications,org::f,topic::media_communications,621
per::c|topic::media_communications,per::c,topic::media_communications,614
loc::china|topic::foreign_policy_diplomacy,loc::china,topic::foreign_policy_diplomacy,603
per::iden|topic::media_communications,per::iden,topic::media_communications,601
hashtag::trump2016|topic::elections_campaigns,hashtag::trump2016,topic::elections_campaigns,599
topic::elections_campaigns|topic::endorsements_appointments,topic::elections_campaigns,topic::endorsements_appointments,589
topic::media_communications|topic::social_culture_education,topic::media_communications,topic::social_culture_education,584
topic::elections_campaigns|topic::health_public_health,topic::elections_campaigns,topic::health_public_health,580
loc::u. s|topic::media_communications,loc::u. s,topic::media_communications,561
topic::congress_governance|topic::immigration_border,topic::congress_governance,topic::immigration_border,556
topic::foreign_policy_diplomacy|topic::law_justice_crime,topic::foreign_policy_diplomacy,topic::law_justice_crime,548
loc::white house|topic::media_communications,loc::white house,topic::media_communications,536
org::fbi|topic::media_communications,org::fbi,topic::media_communications,523
topic::defense_military_veterans|topic::media_communications,topic::defense_military_veterans,topic::media_communications,522
mention::realdonaldtrump|topic::foreign_policy_diplomacy,mention::realdonaldtrump,topic::foreign_policy_diplomacy,511
