node_id,label,node_type,total_count
topic::media_communications,Media Communications,topic,46761
topic::health_public_health,Health Public Health,topic,14306
mention::realdonaldtrump,@realdonaldtrump,mention,12077
topic::law_justice_crime,Law Justice Crime,topic,11709
topic::elections_campaigns,Elections Campaigns,topic,9984
topic::endorsements_appointments,Endorsements Appointments,topic,6189
per::trump,Trump,per,5638
topic::energy_environment,Energy Environment,topic,5241
topic::foreign_policy_diplomacy,Foreign Policy Diplomacy,topic,5073
topic::congress_governance,Congress Governance,topic,5056
topic::immigration_border,Immigration Border,topic,2818
topic::defense_military_veterans,Defense Military Veterans,topic,2649
loc::america,America,loc,2316
per::obama,Obama,per,1723
per::b,B,per,1590
per::donald trump,Donald Trump,per,1491
loc::u. s,U. S,loc,1490
per::joe biden,Joe Biden,per,1397
topic::social_culture_education,Social Culture Education,topic,1295
loc::china,China,loc,1184
loc::united states,United States,loc,1176
per::c,C,per,1096
per::iden,Iden,per,1013
org::foxnews,Foxnews,org,1009
mention::foxnews,@foxnews,mention,958
org::congress,Congress,org,918
mention::whitehouse,@whitehouse,mention,851
hashtag::trump2016,#trump2016,hashtag,825
org::fbi,Fbi,org,816
loc::white house,White House,loc,784
loc::usa,Usa,loc,753
org::f,F,org,732
mention::barackobama,@barackobama,mention,729
org::cnn,Cnn,org,712
mention::foxandfriends,@foxandfriends,mention,709
org::senate,Senate,org,709
loc::russia,Russia,loc,702
loc::florida,Florida,loc,669
hashtag::maga,#maga,hashtag,612
loc::new york,New York,loc,579
hashtag::makeamericagreatagain,#makeamericagreatagain,hashtag,544
org::b,B,org,525
loc::iowa,Iowa,loc,514
loc::pennsylvania,Pennsylvania,loc,491
loc::iran,Iran,loc,471
topic::economy_trade_taxes,Economy Trade Taxes,topic,471
org::house,House,org,458
per::donald,Donald,per,447
loc::texas,Texas,loc,439
per::hillary,Hillary,per,422
per::hillary clinton,Hillary Clinton,per,413
org::a,A,org,408
mention::apprenticenbc,@apprenticenbc,mention,405
loc::georgia,Georgia,loc,404
mention::cnn,@cnn,mention,403
org::r,R,org,398
org::d,D,org,395
per::kamal,Kamal,per,380
per::joe,Joe,per,376
org::fake news,Fake News,org,373
org::republican party,Republican Party,org,371
mention::teamtrump,@teamtrump,mention,362
loc::us,Us,loc,361
org::nbc,Nbc,org,361
loc::mexico,Mexico,loc,356
loc::country,Country,loc,353
loc::ukraine,Ukraine,loc,347
loc::washington,Washington,loc,346
mention::seanhannity,@seanhannity,mention,338
mention::ivankatrump,@ivankatrump,mention,333
per::mi,Mi,per,327
loc::michigan,Michigan,loc,326
org::g,G,org,318
mention::mittromney,@mittromney,mention,315
loc::north carolina,North Carolina,loc,312
per::god,God,per,312
per::p,P,per,310
hashtag::celebapprentice,#celebapprentice,hashtag,297
org::supreme court,Supreme Court,org,297
loc::new hampshire,New Hampshire,loc,292
loc::israel,Israel,loc,289
org::h,H,org,288
loc::ohio,Ohio,loc,287
