week_id,week_start,week_end,posts_processed,twitter_posts,truth_posts,reposts,original_posts,unique_nodes,edge_count,negative_posts,neutral_posts,positive_posts
2009-W19,2009-05-04,2009-05-10,4,4,0,0,4,4,3,0,2,2
2009-W20,2009-05-11,2009-05-17,7,7,0,0,7,9,11,0,5,2
2009-W21,2009-05-18,2009-05-24,7,7,0,0,7,7,9,0,2,5
2009-W22,2009-05-25,2009-05-31,3,3,0,0,3,6,6,0,3,0
2009-W23,2009-06-01,2009-06-07,2,2,0,0,2,5,4,0,2,0
2009-W24,2009-06-08,2009-06-14,2,2,0,0,2,2,1,0,1,1
2009-W25,2009-06-15,2009-06-21,3,3,0,0,3,3,3,0,1,2
2009-W26,2009-06-22,2009-06-28,3,3,0,0,3,6,9,1,0,2
2009-W27,2009-06-29,2009-07-05,2,2,0,0,2,5,7,0,0,2
2009-W29,2009-07-13,2009-07-19,2,2,0,0,2,8,13,0,1,1
2009-W30,2009-07-20,2009-07-26,1,1,0,0,1,1,0,0,0,1
2009-W31,2009-07-27,2009-08-02,1,1,0,0,1,2,1,0,1,0
2009-W32,2009-08-03,2009-08-09,1,1,0,0,1,3,3,0,1,0
2009-W33,2009-08-10,2009-08-16,2,2,0,0,2,6,6,0,0,2
2009-W34,2009-08-17,2009-08-23,3,3,0,0,3,5,6,0,3,0
2009-W35,2009-08-24,2009-08-30,1,1,0,0,1,2,1,0,1,0
2009-W36,2009-08-31,2009-09-06,1,1,0,0,1,2,1,0,1,0
2009-W38,2009-09-14,2009-09-20,1,1,0,0,1,2,1,0,1,0
2009-W40,2009-09-28,2009-10-04,1,1,0,0,1,3,3,0,1,0
2009-W41,2009-10-05,2009-10-11,1,1,0,0,1,4,6,0,1,0
2009-W42,2009-10-12,2009-10-18,1,1,0,0,1,3,3,0,1,0
2009-W43,2009-10-19,2009-10-25,1,1,0,0,1,3,3,0,1,0
2009-W44,2009-10-26,2009-11-01,1,1,0,0,1,5,10,0,0,1
2009-W45,2009-11-02,2009-11-08,1,1,0,0,1,3,3,0,0,1
2009-W47,2009-11-16,2009-11-22,1,1,0,0,1,3,3,0,1,0
2009-W48,2009-11-23,2009-11-29,1,1,0,0,1,1,0,0,0,1
2009-W49,2009-11-30,2009-12-06,1,1,0,0,1,4,6,0,0,1
2009-W52,2009-12-21,2009-12-27,1,1,0,0,1,2,1,0,0,1
2010-W02,2010-01-11,2010-01-17,2,2,0,0,2,4,4,0,0,2
2010-W03,2010-01-18,2010-01-24,2,2,0,0,2,5,10,0,1,1
2010-W05,2010-02-01,2010-02-07,1,1,0,0,1,1,0,0,0,1
2010-W06,2010-02-08,2010-02-14,2,2,0,0,2,2,1,0,2,0
2010-W08,2010-02-22,2010-02-28,1,1,0,0,1,5,10,0,0,1
2010-W09,2010-03-01,2010-03-07,1,1,0,0,1,4,6,0,0,1
2010-W10,2010-03-08,2010-03-14,1,1,0,0,1,2,1,0,0,1
2010-W11,2010-03-15,2010-03-21,4,4,0,0,4,3,1,0,0,4
2010-W12,2010-03-22,2010-03-28,2,2,0,0,2,2,0,0,2,0
2010-W13,2010-03-29,2010-04-04,3,3,0,0,3,7,13,0,1,2
2010-W14,2010-04-05,2010-04-11,5,5,0,0,5,7,5,0,0,5
2010-W15,2010-04-12,2010-04-18,4,4,0,0,4,4,2,0,1,3
2010-W16,2010-04-19,2010-04-25,4,4,0,0,4,8,12,0,1,3
2010-W17,2010-04-26,2010-05-02,4,4,0,0,4,9,16,0,0,4
2010-W18,2010-05-03,2010-05-09,4,4,0,0,4,7,8,0,1,3
2010-W19,2010-05-10,2010-05-16,1,1,0,0,1,3,3,0,0,1
2010-W20,2010-05-17,2010-05-23,5,5,0,0,5,6,6,0,3,2
2010-W21,2010-05-24,2010-05-30,7,7,0,0,7,7,6,0,0,7
2010-W22,2010-05-31,2010-06-06,4,4,0,0,4,6,10,0,0,4
2010-W23,2010-06-07,2010-06-13,4,4,0,0,4,7,10,0,2,2
2010-W24,2010-06-14,2010-06-20,4,4,0,0,4,3,2,0,2,2
2010-W25,2010-06-21,2010-06-27,4,4,0,0,4,5,7,0,2,2
2010-W26,2010-06-28,2010-07-04,4,4,0,0,4,8,10,0,1,3
2010-W27,2010-07-05,2010-07-11,1,1,0,0,1,1,0,0,0,1
2010-W28,2010-07-12,2010-07-18,1,1,0,0,1,2,1,0,0,1
2010-W29,2010-07-19,2010-07-25,4,4,0,0,4,4,1,0,1,3
2010-W30,2010-07-26,2010-08-01,4,4,0,0,4,5,4,0,1,3
2010-W31,2010-08-02,2010-08-08,2,2,0,0,2,4,6,0,2,0
2010-W32,2010-08-09,2010-08-15,7,7,0,0,7,8,13,0,3,4
2010-W33,2010-08-16,2010-08-22,2,2,0,0,2,2,1,0,0,2
2010-W34,2010-08-23,2010-08-29,3,3,0,0,3,4,4,0,0,3
2010-W35,2010-08-30,2010-09-05,5,5,0,0,5,14,22,0,1,4
2010-W36,2010-09-06,2010-09-12,3,3,0,0,3,3,2,0,2,1
2010-W37,2010-09-13,2010-09-19,4,4,0,0,4,5,5,0,1,3
2010-W38,2010-09-20,2010-09-26,2,2,0,0,2,2,1,0,1,1
2010-W39,2010-09-27,2010-10-03,2,2,0,0,2,5,6,0,1,1
2010-W40,2010-10-04,2010-10-10,3,3,0,0,3,5,5,0,0,3
2010-W41,2010-10-11,2010-10-17,2,2,0,0,2,3,1,0,1,1
2010-W42,2010-10-18,2010-10-24,1,1,0,0,1,2,1,0,0,1
2010-W43,2010-10-25,2010-10-31,2,2,0,0,2,2,1,0,0,2
2010-W44,2010-11-01,2010-11-07,2,2,0,0,2,6,7,0,1,1
2010-W45,2010-11-08,2010-11-14,1,1,0,0,1,2,1,0,0,1
2010-W46,2010-11-15,2010-11-21,3,3,0,0,3,5,5,0,1,2
2010-W47,2010-11-22,2010-11-28,4,4,0,0,4,8,10,0,1,3
2010-W48,2010-11-29,2010-12-05,2,2,0,0,2,2,1,0,0,2
2010-W49,2010-12-06,2010-12-12,2,2,0,0,2,2,1,0,0,2
2010-W50,2010-12-13,2010-12-19,5,5,0,0,5,7,7,0,2,3
2010-W51,2010-12-20,2010-12-26,1,1,0,0,1,1,0,0,0,1
2010-W52,2010-12-27,2011-01-02,1,1,0,0,1,1,0,0,0,1
2011-W02,2011-01-10,2011-01-16,3,3,0,0,3,7,15,0,1,2
