week_id,week_start,week_end,posts_processed,twitter_posts,truth_posts,reposts,original_posts,unique_nodes,edge_count,negative_posts,neutral_posts,positive_posts,top_topic,top_topic_node,top_topic_count,top_entity,top_entity_node,top_entity_count,top_nodes_json
2009-W19,2009-05-04,2009-05-10,4,4,0,0,4,4,3,0,2,2,Media Communications,topic::media_communications,3,Donald Trump,per::donald trump,3,"[{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":3},{""node"":""per::donald trump"",""label"":""Donald Trump"",""count"":3},{""node"":""per::david letterman"",""label"":""David Letterman"",""count"":2},{""node"":""topic::endorsements_appointments"",""label"":""Endorsements Appointments"",""count"":1}]"
2009-W20,2009-05-11,2009-05-17,7,7,0,0,7,9,11,0,5,2,Media Communications,topic::media_communications,3,Donald J,per::donald j,3,"[{""node"":""per::donald j"",""label"":""Donald J"",""count"":3},{""node"":""per::trump"",""label"":""Trump"",""count"":3},{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":3},{""node"":""per::donald trump"",""label"":""Donald Trump"",""count"":2},{""node"":""topic::health_public_health"",""label"":""Health Public Health"",""count"":2},{""node"":""topic::immigration_border"",""label"":""Immigration Border"",""count"":1},{""node"":""topic::law_justice_crime"",""label"":""Law Justice Crime"",""count"":1},{""node"":""per::donald j. trump"",""label"":""Donald J. Trump"",""count"":1},{""node"":""topic::social_culture_education"",""label"":""Social Culture Education"",""count"":1}]"
2009-W21,2009-05-18,2009-05-24,7,7,0,0,7,7,9,0,2,5,Media Communications,topic::media_communications,6,Donald J. Trump,per::donald j. trump,2,"[{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":6},{""node"":""topic::health_public_health"",""label"":""Health Public Health"",""count"":2},{""node"":""per::donald j. trump"",""label"":""Donald J. Trump"",""count"":2},{""node"":""per::donald trump"",""label"":""Donald Trump"",""count"":2},{""node"":""per::donald j"",""label"":""Donald J"",""count"":1},{""node"":""per::trump"",""label"":""Trump"",""count"":1},{""node"":""topic::social_culture_education"",""label"":""Social Culture Education"",""count"":1}]"
2009-W22,2009-05-25,2009-05-31,3,3,0,0,3,6,6,0,3,0,Social Culture Education,topic::social_culture_education,1,Donald J,per::donald j,2,"[{""node"":""per::donald j"",""label"":""Donald J"",""count"":2},{""node"":""per::trump"",""label"":""Trump"",""count"":2},{""node"":""topic::social_culture_education"",""label"":""Social Culture Education"",""count"":1},{""node"":""per::donald j. trump"",""label"":""Donald J. Trump"",""count"":1},{""node"":""topic::health_public_health"",""label"":""Health Public Health"",""count"":1},{""node"":""topic::foreign_policy_diplomacy"",""label"":""Foreign Policy Diplomacy"",""count"":1}]"
2009-W23,2009-06-01,2009-06-07,2,2,0,0,2,5,4,0,2,0,Media Communications,topic::media_communications,1,Donald Trump,per::donald trump,1,"[{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":1},{""node"":""per::donald trump"",""label"":""Donald Trump"",""count"":1},{""node"":""topic::health_public_health"",""label"":""Health Public Health"",""count"":1},{""node"":""per::donald j"",""label"":""Donald J"",""count"":1},{""node"":""per::trump"",""label"":""Trump"",""count"":1}]"
2009-W24,2009-06-08,2009-06-14,2,2,0,0,2,2,1,0,1,1,Media Communications,topic::media_communications,2,Donald Trump,per::donald trump,1,"[{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":2},{""node"":""per::donald trump"",""label"":""Donald Trump"",""count"":1}]"
2009-W25,2009-06-15,2009-06-21,3,3,0,0,3,3,3,0,1,2,Media Communications,topic::media_communications,3,Donald Trump,per::donald trump,2,"[{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":3},{""node"":""per::donald trump"",""label"":""Donald Trump"",""count"":2},{""node"":""per::b"",""label"":""B"",""count"":1}]"
2009-W26,2009-06-22,2009-06-28,3,3,0,0,3,6,9,1,0,2,Media Communications,topic::media_communications,2,Donald J,per::donald j,2,"[{""node"":""per::donald j"",""label"":""Donald J"",""count"":2},{""node"":""per::trump"",""label"":""Trump"",""count"":2},{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":2},{""node"":""topic::health_public_health"",""label"":""Health Public Health"",""count"":1},{""node"":""per::donald trump"",""label"":""Donald Trump"",""count"":1},{""node"":""per::michael jackson"",""label"":""Michael Jackson"",""count"":1}]"
2009-W27,2009-06-29,2009-07-05,2,2,0,0,2,5,7,0,0,2,Media Communications,topic::media_communications,2,Donald Trump,per::donald trump,1,"[{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":2},{""node"":""per::donald trump"",""label"":""Donald Trump"",""count"":1},{""node"":""per::g"",""label"":""G"",""count"":1},{""node"":""per::reta van susteren"",""label"":""Reta Van Susteren"",""count"":1},{""node"":""per::donald j. trump"",""label"":""Donald J. Trump"",""count"":1}]"
2009-W29,2009-07-13,2009-07-19,2,2,0,0,2,8,13,0,1,1,Social Culture Education,topic::social_culture_education,1,Donald J,per::donald j,1,"[{""node"":""topic::social_culture_education"",""label"":""Social Culture Education"",""count"":1},{""node"":""per::donald j"",""label"":""Donald J"",""count"":1},{""node"":""per::trump"",""label"":""Trump"",""count"":1},{""node"":""topic::endorsements_appointments"",""label"":""Endorsements Appointments"",""count"":1},{""node"":""topic::elections_campaigns"",""label"":""Elections Campaigns"",""count"":1},{""node"":""loc::j"",""label"":""J"",""count"":1},{""node"":""loc::n"",""label"":""N"",""count"":1},{""node"":""per::donald trump"",""label"":""Donald Trump"",""count"":1}]"
2009-W30,2009-07-20,2009-07-26,1,1,0,0,1,1,0,0,0,1,Media Communications,topic::media_communications,1,,,0,"[{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":1}]"
2009-W31,2009-07-27,2009-08-02,1,1,0,0,1,2,1,0,1,0,Social Culture Education,topic::social_culture_education,1,Donald Trump,per::donald trump,1,"[{""node"":""topic::social_culture_education"",""label"":""Social Culture Education"",""count"":1},{""node"":""per::donald trump"",""label"":""Donald Trump"",""count"":1}]"
2009-W32,2009-08-03,2009-08-09,1,1,0,0,1,3,3,0,1,0,Media Communications,topic::media_communications,1,Trump University,org::trump university,1,"[{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":1},{""node"":""org::trump university"",""label"":""Trump University"",""count"":1},{""node"":""per::donald trump"",""label"":""Donald Trump"",""count"":1}]"
2009-W33,2009-08-10,2009-08-16,2,2,0,0,2,6,6,0,0,2,Health Public Health,topic::health_public_health,1,Donald J,per::donald j,1,"[{""node"":""topic::health_public_health"",""label"":""Health Public Health"",""count"":1},{""node"":""per::donald j"",""label"":""Donald J"",""count"":1},{""node"":""per::trump"",""label"":""Trump"",""count"":1},{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":1},{""node"":""per::ivan"",""label"":""Ivan"",""count"":1},{""node"":""mention::ivankatrump"",""label"":""@ivankatrump"",""count"":1}]"
2009-W34,2009-08-17,2009-08-23,3,3,0,0,3,5,6,0,3,0,Media Communications,topic::media_communications,3,Bahamas,loc::bahamas,2,"[{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":3},{""node"":""loc::bahamas"",""label"":""Bahamas"",""count"":2},{""node"":""org::nbc"",""label"":""Nbc"",""count"":2},{""node"":""per::david letterman"",""label"":""David Letterman"",""count"":1},{""node"":""per::donald trump"",""label"":""Donald Trump"",""count"":1}]"
2009-W35,2009-08-24,2009-08-30,1,1,0,0,1,2,1,0,1,0,Media Communications,topic::media_communications,1,Donald Trump,per::donald trump,1,"[{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":1},{""node"":""per::donald trump"",""label"":""Donald Trump"",""count"":1}]"
2009-W36,2009-08-31,2009-09-06,1,1,0,0,1,2,1,0,1,0,Media Communications,topic::media_communications,1,Donald Trump,per::donald trump,1,"[{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":1},{""node"":""per::donald trump"",""label"":""Donald Trump"",""count"":1}]"
2009-W38,2009-09-14,2009-09-20,1,1,0,0,1,2,1,0,1,0,Media Communications,topic::media_communications,1,Donald Trump,per::donald trump,1,"[{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":1},{""node"":""per::donald trump"",""label"":""Donald Trump"",""count"":1}]"
2009-W40,2009-09-28,2009-10-04,1,1,0,0,1,3,3,0,1,0,Media Communications,topic::media_communications,1,Donald J,per::donald j,1,"[{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":1},{""node"":""per::donald j"",""label"":""Donald J"",""count"":1},{""node"":""per::trump"",""label"":""Trump"",""count"":1}]"
2009-W41,2009-10-05,2009-10-11,1,1,0,0,1,4,6,0,1,0,Media Communications,topic::media_communications,1,Donald Trump,per::donald trump,1,"[{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":1},{""node"":""per::donald trump"",""label"":""Donald Trump"",""count"":1},{""node"":""per::ivan"",""label"":""Ivan"",""count"":1},{""node"":""per::ka"",""label"":""Ka"",""count"":1}]"
2009-W42,2009-10-12,2009-10-18,1,1,0,0,1,3,3,0,1,0,Media Communications,topic::media_communications,1,Gma,org::gma,1,"[{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":1},{""node"":""org::gma"",""label"":""Gma"",""count"":1},{""node"":""per::ivan"",""label"":""Ivan"",""count"":1}]"
2009-W43,2009-10-19,2009-10-25,1,1,0,0,1,3,3,0,1,0,Media Communications,topic::media_communications,1,Donald Trump,per::donald trump,1,"[{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":1},{""node"":""per::donald trump"",""label"":""Donald Trump"",""count"":1},{""node"":""per::neil cavuto"",""label"":""Neil Cavuto"",""count"":1}]"
2009-W44,2009-10-26,2009-11-01,1,1,0,0,1,5,10,0,0,1,Endorsements Appointments,topic::endorsements_appointments,1,Donald Trump,per::donald trump,1,"[{""node"":""topic::endorsements_appointments"",""label"":""Endorsements Appointments"",""count"":1},{""node"":""per::donald trump"",""label"":""Donald Trump"",""count"":1},{""node"":""per::ivan"",""label"":""Ivan"",""count"":1},{""node"":""per::jared"",""label"":""Jared"",""count"":1},{""node"":""per::ka"",""label"":""Ka"",""count"":1}]"
2009-W45,2009-11-02,2009-11-08,1,1,0,0,1,3,3,0,0,1,Media Communications,topic::media_communications,1,Scotland,loc::scotland,1,"[{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":1},{""node"":""loc::scotland"",""label"":""Scotland"",""count"":1},{""node"":""org::trump international"",""label"":""Trump International"",""count"":1}]"
2009-W47,2009-11-16,2009-11-22,1,1,0,0,1,3,3,0,1,0,Media Communications,topic::media_communications,1,Donald Trump,per::donald trump,1,"[{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":1},{""node"":""per::donald trump"",""label"":""Donald Trump"",""count"":1},{""node"":""per::omarosa"",""label"":""Omarosa"",""count"":1}]"
2009-W48,2009-11-23,2009-11-29,1,1,0,0,1,1,0,0,0,1,Media Communications,topic::media_communications,1,,,0,"[{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":1}]"
